회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
1,데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","데이터의 특징에 어울리는 그래프 형태를 정하고, 알맞은 눈금 크기와 범례를 정하여 값에 맞게 그림이나 막대를 그릴 수 있다.",success,True,8.38,69
1,컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식",격자 칸에 색칠하거나 색상을 숫자로 바꾸어 컴퓨터가 이미지를 표현하고 인식하는 원리를 설명할 수 있다. 격자 칸의 색상을 숫자로 바꾸는 과정을 통해 디지털 자료가 표현되는 방식을 이해할 수 있다.,success,True,6.49,109
1,데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정",수집한 데이터에서 빠진 곳이나 틀린 곳을 찾을 수 있다. 데이터의 같은 종류끼리 통일하고 필요 없는 내용을 잘라내어 알맞게 정리할 수 있다.,success,True,7.01,78
1,공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,"관찰 기준을 정하여 대상의 속성 값을 비교하고, 공통점과 차이점에 따라 같은 점과 다른 점을 묶을 수 있다.",success,True,4.87,60
1,인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"순서도에서 시작과 끝 기호를 찾아내고, 화살표 방향으로 길을 따라가며 질문에 따라 예/아니오 갈래를 선택할 수 있다.",success,True,6.43,65
1,대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,"수집한 데이터의 크기를 비교하고 크기순으로 줄을 서서 자료를 정리할 수 있다. 데이터 크기를 비교하여 크기순으로 줄을 세우고, 자료를 대표하는 값을 정할 수 있다.",success,True,6.48,91
1,평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,자료의 수량을 모두 모아 합하고 자료의 수로 똑같이 나누어 하나의 값으로 대표할 수 있다. 수집한 자료의 전체 특징을 하나의 값으로 대표하여 나타낼 수 있다.,success,True,8.1,88
1,"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"세상을 눈, 귀, 글자로 나누어 보며 모양이나 소리를 구별할 수 있다. 그림이나 소리와 같은 데이터를 숫자로 바꿔 나타낼 수 있다.",success,True,9.02,73
1,의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"문제를 해결하는 과정을 순서대로 나열하고, 조건에 따라 나누며, 반복되는 구간을 묶어 알고리즘으로 표현할 수 있다.",success,True,6.07,64
1,자연어,6,6실05-01,사람이 일상적으로 쓰는 말,"글자나 단어를 띄어 세고 상황에 맞는 단어를 묶을 수 있으며, 앞뒤 문맥으로 뜻을 알아맞힐 수 있다.",success,True,6.69,56
1,디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,"자연이나 생활 속에서 일어나는 연속된 변화를 관찰하고, 이를 일정한 간격으로 나누어 끊어진 숫자로 바꾸어 표현할 수 있다. 디지털과 아날로그 신호의 차이를 이해하고 컴퓨터가 정보를 다루는 방식을 설명할 수 있다.",success,True,4.53,118
1,데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","정보의 모습을 살펴보고 같은 형태끼리 모을 수 있으며, 알맞은 표현 방식을 고를 수 있다.",success,True,6.25,50
1,기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법","인공지능이 데이터를 바탕으로 비슷한 모양끼리 묶고 단계별 특징을 찾아내며, 그 결과를 보고 스스로 정정하는 과정을 탐구할 수 있다.",success,True,4.74,73
1,언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동","컴퓨터 없이 실물 자료를 움직이고 신호나 약속에 따라 순서대로 따라 하며, 문제 해결 과정에서 규칙을 찾아낼 수 있다.",success,True,7.53,66
1,강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법","행동의 결과를 보고 점수를 얻을 수 있다. 더 높은 점수를 찾아 비교하며, 상황별로 점수가 높은 행동을 선택할 수 있다.",success,True,8.53,67
1,예측,4,4국02-03,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"자료의 변화 흐름과 규칙을 찾아 순서대로 나열하고, 이를 바탕으로 앞으로 일어날 일을 짐작할 수 있다. 꺾은선그래프나 수열의 규칙성을 바탕으로 다음에 올 값을 순서대로 나열하여 예측할 수 있다.",success,True,5.53,108
1,요약,4,4국02-02,긴 글에서 중요한 내용만 골라 짧고 간단하게 정리하는 것,"글을 읽고 문맥을 파악하여 중심 생각을 이해하고, 글에서 중요한 낱말을 찾을 수 있다. 핵심어를 바탕으로 전체 내용을 요약할 수 있다.",success,True,6.37,75
1,정보 신뢰성 평가,6,6국06-02,어떤 정보나 자료의 출처가 믿을 만한지 따져보고 판단하는 것,다양한 매체에서 찾은 정보의 출처를 확인하고 사실과 의견을 구분할 수 있다. 여러 자료를 비교하여 수집한 정보의 신뢰성을 판단할 수 있다.,success,True,6.13,77
2,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 대상의 속성과 특징을 관찰하여 공통점과 차이점을 찾을 수 있다. 정해진 조건과 기준에 따라 대상의 공통점과 차이점을 비교하여 찾아낼 수 있다.,success,True,5.34,82
2,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 가지 물체나 그림의 배열에서 반복되는 모양을 찾아 규칙을 설명할 수 있다. 반복되는 모양을 찾아 다음에 올 모습을 나타낼 수 있다.,success,True,5.43,76
2,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"여러 대상이나 자료를 관찰하고 비교하여 공통점과 차이점을 찾을 수 있다. 물체나 수의 배열, 데이터에서 반복되거나 변화하는 공통점과 차이점을 찾아 규칙을 설명할 수 있다.",success,True,5.67,95
2,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"자료의 변화 흐름에서 경향성을 파악하고 변수 간 관계를 찾아 앞으로 일어날 일을 짐작할 수 있다. 꺾은선그래프와 같은 데이터 자료를 해석하여 변수 간 관계를 탐구하고, 이를 바탕으로 경향성을 파악할 수 있다.",success,True,6.84,116
2,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,여러 대상을 관찰하여 공통점과 차이점을 찾을 수 있다. 공통점과 차이점을 관찰하여 대상의 주요 특징을 찾아내고 설명할 수 있다.,success,True,9.08,71
2,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보려는 목적에 따라 관찰 대상을 정하고, 관련된 데이터나 자료를 조사하여 모을 수 있다.",success,True,4.66,51
2,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,"표와 그래프로 나타낸 자료를 살펴보고 빠진 값을 찾을 수 있다. 자료를 정리하는 과정에서 분류 기준과 수량, 단위를 확인하여 빠진 값을 찾아 완성할 수 있다.",success,True,6.17,88
2,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"알아보려는 목적에 따라 필요한 자료를 모으고, 모은 자료를 크기 순으로 줄 서기 하여 전체를 대표하는 값을 찾고 그 의미를 설명할 수 있다.",success,True,4.18,78
2,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,모든 경우의 수와 특정 사건의 수를 세어 전체에 대한 부분의 비율을 구할 수 있다. 확률의 의미를 이해하고 어떤 일이 일어날 가능성을 비와 비율로 나타낼 수 있다.,success,True,3.93,91
2,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,조사한 자료의 특성을 나타내기에 알맞은 그래프 모양을 선택할 수 있다. 자료를 표현할 때 막대그래프나 꺾은선그래프 등 목적에 알맞은 그래프 모양을 선택할 수 있다.,success,True,6.06,91
2,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"공통 속성을 정하여 물체나 수의 크기, 양, 길이를 비교하고 순서를 정할 수 있다. 사물들의 공통 속성을 정하고 이를 바탕으로 차례대로 순서를 나타낼 수 있다.",success,True,7.0,89
2,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,"정해진 규칙과 순서에 따라 일어나는 변화를 이해하고, 제시된 규칙을 순서대로 따라 할 수 있다. 순서와 차례에 맞게 정해진 규칙을 찾아 그대로 실행할 수 있다.",success,True,7.14,89
2,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"여러 대상의 공통 속성을 찾아내어 비교하고, 수와 양의 크기에 따라 순서를 정할 수 있다.",success,True,8.44,50
2,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"예, 아니오로 답할 수 있는 질문을 만들어 조건에 따라 대상을 분류할 수 있다. 질문의 답에 따라 순서대로 나누어 판단하고 결과를 결정할 수 있다.",success,True,9.19,82
2,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"알아보고 싶은 주제에 맞게 질문을 만들고, 해결에 필요한 데이터와 자료를 모을 수 있다.",success,True,6.84,49
2,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,센서 값의 기준을 정하여 입력과 출력을 연결할 수 있다. 조건에 따라 동작 조건을 나누어 작동하는 인공지능 사물을 제작할 수 있다.,success,True,6.36,73
2,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 대상이나 자료를 관찰하여 공통점과 차이점을 찾을 수 있다. 찾아낸 공통점과 차이점을 바탕으로 정한 기준에 따라 대상을 분류할 수 있다.,success,True,7.68,78
2,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"주변의 자극이나 신호를 감각하여 정보를 받아오고, 정해진 기준에 따라 판단하여 행동하는 로봇의 작동 원리를 이해할 수 있다. 입력된 자극에 따라 판단하고 반응하는 알고리즘을 탐구할 수 있다.",success,True,6.43,106
2,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상이나 데이터의 특징을 찾아 공통점과 차이점을 비교하고, 이를 바탕으로 분류하기 위한 명확한 조건을 작성할 수 있다.",success,True,7.56,66
2,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"대상을 효과적으로 분류하기 위해 가장 잘 갈라지는 기준을 찾을 수 있다. 조건에 맞는 예/아니오 질문을 만들고, 대상의 특징으로 모둠을 나누는 알고리즘을 표현할 수 있다.",success,True,9.42,95
2,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자 칸 수를 세고, 색칠된 부분을 분수로 나타낼 수 있다. 디지털 이미지에서 전체 격자 칸 수와 색칠된 부분을 비교하여 분수로 표현할 수 있다.",success,True,6.43,81
2,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자판에서 전체 격자 칸 수를 세고, 칠해진 칸을 분수로 나타낼 수 있다.",success,True,5.97,41
2,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"조사한 자료의 수량에 맞춰 그림 기호 단위를 정할 수 있다. 정해진 그림 기호 단위와 수량에 알맞게 그림을 붙여 나타내고, 그림 개수로 수량을 비교할 수 있다.",success,True,8.43,89
2,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,디지털 이미지에서 색상과 밝기를 비교하고 물체의 경계선(테두리)을 찾아낼 수 있다. 격자판이나 모눈종이에서 명암과 색상의 차이를 관찰하여 경계선(테두리)을 찾아 나타낼 수 있다.,success,True,7.12,99
2,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"탐구나 문제 해결의 목적을 파악하여 필요한 정보를 선별하고, 목적에 맞는 기준을 세워 데이터를 정리할 수 있다.",success,True,5.85,62
2,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",데이터의 특징에 맞는 시각적 모양을 고를 수 있다. 수집한 데이터의 특징을 잘 나타낼 수 있는 시각적 모양을 선택하고 이를 활용하여 표현할 수 있다.,success,True,6.06,83
2,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,여러 대상의 속성과 특징을 관찰하여 공통점과 차이점을 찾을 수 있다. 공통점과 차이점을 바탕으로 알맞은 조건이나 기준을 정하여 분류할 수 있다.,success,True,6.16,80
2,데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",알맞은 그래프 모양을 고르고 값의 크기를 눈금 길이나 색으로 바꾸어 표현할 수 있다. 그래프에서 솟아오르거나 낮아진 부분을 찾아내어 데이터의 특징을 해석할 수 있다.,success,True,5.84,92
2,컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식","모눈종이의 칸을 나누고, 칸마다 색깔을 숫자로 바꾸어 표현할 수 있다. 컴퓨터가 이미지를 인식하는 과정을 모눈종이 칸의 색깔을 숫자로 바꾸어 나타낼 수 있다.",success,True,5.87,88
2,데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","수집한 데이터에서 빠지거나 잘못된 부분을 찾아내고, 같은 종류끼리 형식을 맞추며, 필요 없는 정보를 골라낼 수 있다.",success,True,5.49,65
2,공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,"대상의 공통점과 차이점을 구별하기 위해 속성을 살펴보고, 같은 점은 묶으며 다른 점은 가려낼 수 있다.",success,True,8.29,57
2,인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"시작과 끝을 정하고 순서대로 연결할 수 있다. 인공지능 알고리즘을 표현할 때 질문으로 '예' 또는 '아니오'를 나눌 수 있으며, 이를 바탕으로 문제 해결 과정을 담은 순서도를 이해하고 나타낼 수 있다.",success,True,7.25,112
2,대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,자료를 크기순으로 늘어놓고 전체 자료를 대표하는 값을 찾을 수 있다. 자료에서 가장 많이 나온 값을 찾아 자료의 특징을 설명할 수 있다.,success,True,4.44,76
2,평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,자료의 수량을 모두 더하고 자료의 수로 똑같이 나누어 평균값을 구할 수 있다. 수량을 고르게 평평하게 만들어 평균값의 의미를 이해하고 나타낼 수 있다.,success,True,9.24,84
2,"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"글자, 숫자, 소리, 이미지 등 다양한 감각 정보를 관찰하고, 이를 정해진 형태의 기호나 숫자로 바꾸며, 변환된 정보 사이의 차이점을 비교할 수 있다.",success,True,4.93,84
2,의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"문제 해결 과정을 알고리즘으로 나타내기 위해 명령을 순서대로 나열하고, 상황에 따라 조건을 나누며, 반복되는 일을 묶어 절차적으로 표현할 수 있다.",success,True,5.87,82
2,자연어,6,6실05-01,사람이 일상적으로 쓰는 말,컴퓨터나 인공지능이 사람의 말을 이해할 수 있도록 문장을 나누고 단어를 연결할 수 있다. 글을 읽고 문맥과 상황에 맞는 뜻을 찾아낼 수 있다.,success,True,6.6,79
2,디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,"연속적인 것과 끊어진 것을 구별하고, 일정한 간격으로 나누어 잰 후 측정한 값을 가까운 숫자로 바꾸어 적을 수 있다. 아날로그와 디지털 정보의 특징을 비교하여 설명할 수 있다.",success,True,4.35,98
2,데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","글자, 숫자, 이미지를 구분하고 정보의 형태를 분류할 수 있다. 수치 데이터의 크기를 비교할 수 있다.",success,True,5.42,57
2,기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법","인공지능이 많은 데이터에서 공통된 모양이나 색깔을 찾아낼 수 있다. 새로운 기준에 따라 무리를 지을 수 있으며, 틀린 답을 보고 스스로 기준을 수정할 수 있다.",success,True,6.8,89
2,언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동","컴퓨터 없이 규칙대로 움직이고 순서를 정리하며, 절차의 잘못된 부분을 찾아 고칠 수 있다. 순서와 규칙, 기호와 약속을 활용하여 문제를 해결하는 단계를 알고 알고리즘을 표현할 수 있다.",success,True,5.55,103
2,강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법","컴퓨터가 여러 번 시도하며 결과를 비교하고, 결과에 따라 점수를 주어 더 높은 점수를 얻는 행동을 찾아낼 수 있다.",success,True,5.01,64
