ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","수집한 데이터를 알아보기 쉽도록 알맞은 기호, 길이, 색과 같은 시각적 요소로 바꾸어 나타낼 수 있다. 시각적으로 표현된 데이터를 바탕으로 값의 변화 흐름을 나타내거나 전체에서 각 부분이 차지하는 비중을 비교할 수 있다.",success,True,8.52,123
컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식",그림을 모눈종이 칸으로 나누어 각 칸의 색깔을 숫자로 바꿀 수 있다. 숫자로 바꾼 자료로 표를 만들고 숫자 패턴을 비교하여 컴퓨터가 이미지를 인식하는 원리를 탐구할 수 있다.,success,True,8.69,97
데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","자료에서 빠지거나 잘못된 부분을 찾아 수정하고, 정해진 기준에 따라 순서대로 정렬하거나 같은 것끼리 묶어 표나 그래프로 나타낼 수 있다. 수집한 데이터를 디지털 도구를 활용하여 정돈된 표나 그림으로 표현할 수 있다.",success,True,5.35,120
공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,"대상을 관찰할 속성을 정하여 특징을 비교하고, 같은 점과 다른 점을 구분하여 알맞은 기준에 따라 무리를 나눌 수 있다.",success,True,6.71,66
인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"약속된 기호의 의미를 알고, 화살표를 따라 명령의 순서대로 순서도를 읽을 수 있다. 질문의 결과에 따라 길이 갈라지는 순서도의 흐름을 따라가며 알고리즘의 실행 과정을 설명할 수 있다.",success,True,8.15,102
대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,"자료를 크기순으로 나열하거나 가장 자주 나오는 자료를 고르고, 모든 자료를 더해 개수로 나누어 전체의 특징을 나타내는 값을 구할 수 있다. 매우 크거나 작은 자료가 대표하는 값에 미치는 영향을 비교할 수 있다.",success,True,7.26,117
평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,자료의 모든 값을 합하고 전체 개수로 똑같이 나누어 자료 전체를 대표하는 수를 정할 수 있다. 데이터의 총합을 개수로 나누는 과정을 통해 전체를 대표하는 값을 구하고 설명할 수 있다.,success,True,6.56,102
"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"숫자, 글자, 소리, 이미지 등 다양한 데이터의 형태를 구분하고, 아날로그와 디지털 형태의 특징을 비교할 수 있다. 여러 형태의 정보를 컴퓨터가 이해할 수 있는 숫자로 바꾸어 표현하며, 데이터 유형에 알맞은 처리 방법을 선택할 수 있다.",success,True,8.37,132
의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"문제를 해결하는 알고리즘을 사람이 이해하기 쉬운 글로 나타낼 수 있다. 해결 과정을 순서대로 나열하고, 조건에 따라 나누며, 반복되는 부분을 묶어 간단하게 표현할 수 있다.",success,True,8.2,96
자연어,6,6실05-01,사람이 일상적으로 쓰는 말,"문장 속 낱말의 역할을 구별하며 알맞게 띄어 읽을 수 있다. 비슷한 뜻을 가진 낱말을 모으고, 문장의 뜻을 이어붙여 전체 의미를 파악하고 표현할 수 있다.",success,True,6.54,86
디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,연속적으로 변화하는 양을 관찰하고 일정한 간격으로 나누어 잴 수 있다. 측정한 값을 가장 가까운 수로 반올림하여 숫자로 바꾸어 기록함으로써 아날로그와 디지털 정보의 특징을 비교하여 설명할 수 있다.,success,True,8.75,110
데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","텍스트, 이미지, 소리 등 다양한 데이터의 형태와 성격을 파악하여 적절한 기준에 따라 분류하고, 데이터에 알맞은 연산 방법을 연결하거나 형식을 변환할 수 있다.",success,True,4.71,89
기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법",대상의 공통점과 차이점을 찾아 알맞은 기준으로 무리 지을 수 있다. 여러 단계로 힌트를 모으고 힌트마다 중요도 점수를 매겨 문제를 해결하는 인공지능 알고리즘의 과정을 설명할 수 있다.,success,True,9.52,102
언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동","컴퓨터 없이 카드나 교구를 순서대로 배열하고 신호와 약속에 맞춰 몸으로 움직일 수 있다. 친구의 신호를 보고 판단하여 규칙에 따라 알맞게 행동하며, 오류가 생긴 단계를 찾아 고칠 수 있다.",success,True,9.83,105
강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법","목표 달성을 위해 다양한 행동을 직접 시도하고 그 결과로 얻은 점수를 확인하며, 행동 순서를 기록하고 수정하여 더 나은 문제 해결 방식을 찾아낼 수 있다. 인공지능이 시행착오를 거치며 더 높은 점수를 얻기 위해 알고리즘을 고쳐 나가는 과정을 설명할 수 있다.",success,True,9.5,144
