회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
1,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"외부에서 들어오는 자극에 반응하도록 입력과 출력을 연결할 수 있다. 조건에 따라 센서가 자극에 반응하는 과정을 이해하고, 원하는 동작이 나타나도록 입력과 출력을 연결할 수 있다.",success,True,7.05,99
1,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상의 공통된 특징을 찾아내고 명확한 나눔 조건을 정할 수 있으며, 데이터 분류 과정에서 중복이나 누락을 검사할 수 있다.",success,True,5.87,68
1,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"예 혹은 아니오로 답하는 질문을 만들고, 가장 먼저 물어볼 좋은 질문 순서를 정하여 질문 하나로 무리를 나눌 수 있다. 스무고개 놀이처럼 질문의 조건에 따라 단계별로 갈래를 나누며 대상을 분류할 수 있다.",success,True,5.23,114
1,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"대상을 격자 칸으로 나누고, 전체 칸 중 색칠된 부분의 분수를 구할 수 있다. 격자 칸으로 나눈 모양에서 전체 칸 중 색칠된 부분의 분수를 구하여 나타낼 수 있다.",success,True,7.56,91
1,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자판 칸수를 세고, 전체에 대한 색칠된 부분의 양을 분수로 나타낼 수 있다. 컴퓨터 화면의 이미지를 격자판으로 나타내고 색칠된 부분을 분수로 표현할 수 있다.",success,True,5.14,89
1,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"조사한 데이터에 어울리는 상징 그림을 정하고 그림 한 개가 뜻하는 수량 단위를 설정할 수 있으며, 수량을 단위 그림 개수로 바꾸어 나타낼 수 있다.",success,True,6.56,82
1,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,주어진 그림이나 대상에서 색깔이나 모양의 차이를 찾아낼 수 있다. 대상의 테두리와 모서리 선을 따라 그릴 수 있다.,success,True,9.99,64
1,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"데이터를 활용할 목적을 설정하고, 수집된 자료에서 필요한 정보만 골라내며 목적에 맞는 기준을 만들 수 있다.",success,True,6.82,60
1,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","수집한 데이터에서 항목별로 수를 세어 기록하고, 이를 표나 그래프로 나타내어 수량을 비교할 수 있다.",success,True,5.37,56
1,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,"여러 가지 물체나 자료에서 속성을 바탕으로 기준을 정하여 나누고, 대상이 가진 특징을 찾을 수 있다. 맑고 명확한 조건에 따라 대상의 특징을 찾아 무리 지어 표현할 수 있다.",success,True,4.43,97
1,데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",수집한 데이터의 변수에 알맞은 그림 형식을 정하고 축과 눈금을 맞추어 나타낼 수 있다. 자료의 의미를 상징으로 바꾸어 그려 표현할 수 있다.,success,True,9.09,78
1,컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식","모눈종이 칸마다 색을 깔고, 색깔을 숫자로 바꾸어 컴퓨터가 이미지를 인식하는 과정을 표현할 수 있다.",success,True,5.01,56
1,데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","수집한 데이터에서 비어있는 곳을 찾아 채우고, 틀린 정보를 고치며, 겹치는 정보는 하나만 남겨 바르게 정리할 수 있다.",success,True,6.14,66
1,공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,관찰 기준을 정하고 속성값을 대조하여 대상들의 같고 다름을 가려낼 수 있다. 대상의 속성을 관찰하고 비교하여 공통점과 차이점을 구별할 수 있다.,success,True,4.72,80
1,인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,시작과 끝을 표시하고 질문과 조건을 정하여 화살표를 따라가며 판단하는 알고리즘을 표현할 수 있다. 인공지능이 문제를 해결하는 순서와 조건에 따라 화살표를 따라가며 결과를 판단할 수 있다.,success,True,4.53,104
1,대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,수를 크기순으로 줄 세울 수 있다. 수집한 데이터에서 가장 많이 나온 수를 찾을 수 있다.,success,True,8.39,50
1,평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,"자료의 수치를 모아 전체 합을 구하고, 이를 똑같이 나누어 나타낼 수 있다.",success,True,5.39,42
1,"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"모눈종이 칸에 맞춰 색칠하고 소리의 크기를 숫자로 나타내며, 서로 다른 모양의 정보에서 공통된 숫자 규칙을 찾을 수 있다.",success,True,6.45,68
1,의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"문제 해결 과정을 알고리즘으로 표현하기 위해 순서대로 순서짓고, 조건에 따라 갈라 적으며, 반복할 부분을 묶을 수 있다.",success,True,5.21,67
1,자연어,6,6실05-01,사람이 일상적으로 쓰는 말,문장을 낱말 단위로 나누고 낱말의 종류를 파악할 수 있다. 문맥에 맞는 낱말의 뜻을 연결할 수 있다.,success,True,7.53,56
1,디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,"연속된 변화를 관찰하고, 일정한 간격으로 끊어 재어 측정한 값을 숫자로 바꿀 수 있다. 이 과정을 바탕으로 아날로그 자료를 디지털로 나타낼 수 있다.",success,True,6.28,83
1,데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","데이터의 모양과 형태를 관찰하여 글자, 숫자, 이미지로 구분할 수 있으며, 정보의 성격에 따라 알맞게 짝짓기할 수 있다.",success,True,6.59,67
1,기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법","데이터에서 특징 찾기를 하고, 스스로 규칙 만들어 적용하기를 통하여 문제 해결 과정을 단계별로 쪼개어 생각하기를 실천할 수 있다. 인공지능이 데이터를 바탕으로 입력과 출력 사이의 관계를 탐구하여 문제를 해결하는 알고리즘을 표현할 수 있다.",success,True,6.19,133
1,언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동","정해진 규칙대로 움직이고 주어진 절차를 순서대로 나열할 수 있다. 신호와 약속, 조건에 따라 일어나는 상태 변환을 찾아서 표현할 수 있다.",success,True,6.34,77
1,강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법",여러 상황에서 직접 행동해 보고 결과를 확인하며 상과 벌을 구분할 수 있다. 이 과정에서 얻은 보상점수를 합산하여 알맞은 판단을 할 수 있다.,success,True,9.46,79
2,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 대상의 속성과 특징을 바탕으로 공통점과 차이점을 찾아낼 수 있다. 정해진 기준과 조건에 따라 대상을 관찰하고 비교하여 공통점과 차이점을 찾아낼 수 있다.,success,True,6.59,88
2,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,주어진 대상이나 자료를 관찰하고 비교하여 공통점과 차이점을 찾을 수 있다. 사물이나 모양의 특징을 살피어 공통점과 차이점을 찾아내고 반복되는 규칙을 설명할 수 있다.,success,True,8.83,92
2,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 대상이나 데이터의 순서와 배열을 살펴보고 공통점을 관찰할 수 있다. 자료에 나타나는 규칙성을 찾기 위해 공통점을 관찰하여 표현할 수 있다.,success,True,10.0,80
2,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,과거 데이터를 살펴보고 변화하는 규칙과 패턴을 찾아 앞으로 일어날 일을 짐작할 수 있다. 꺾은선그래프의 변화 경향을 해석하여 원인과 결과에 따른 미래의 변화를 예측할 수 있다.,success,True,5.33,98
2,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,"사물이나 대상의 공통점과 차이점을 관찰하기를 통해 찾아내고, 여러 성질 중 중요한 것을 골라낼 수 있다. 자료를 관찰하여 대상의 핵심이 되는 속성을 찾아 설명할 수 있다.",success,True,4.95,95
2,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보려는 목적에 따라 필요한 정보를 정하고, 조사나 관찰, 측정을 통해 데이터를 모을 수 있다. 모은 자료를 바탕으로 필요한 정보를 찾아내어 표와 그래프로 나타낼 수 있다.",success,True,5.38,97
2,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,수집한 데이터에서 빠지거나 틀린 부분을 찾아낼 수 있다. 수집한 자료를 표나 그래프로 나타내기 전에 데이터의 빠지거나 틀린 부분을 찾아낼 수 있다.,success,True,9.1,82
2,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"실생활 자료를 수집하여 크기순으로 나열하고 대표하는 값을 나타낼 수 있다. 수집한 자료에서 가장 많이 나온 값을 찾아 자료의 특징을 설명하고, 평균의 의미를 이해하여 구할 수 있다.",success,True,4.65,101
2,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,"어떤 일이 일어날 가능성을 말로 표현하고, 주어진 상황에서 모든 경우의 수와 조건에 맞는 경우의 수를 셀 수 있다.",success,True,7.88,64
2,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,수집한 데이터를 표나 그래프로 나타내고 값의 크기를 비교할 수 있다. 자료의 수량 변화 추이를 나타내어 데이터의 값의 크기를 비교할 수 있다.,success,True,6.42,79
2,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,물체에서 공통된 속성을 찾아 측정할 수 있다. 공통된 속성을 바탕으로 측정한 값을 비교하여 순서를 정할 수 있다.,success,True,6.02,63
2,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,생활 속 규칙이나 알고리즘을 이해하고 반복할 한 줄 동작을 정할 수 있다. 주어진 순서와 패턴에 맞게 반복할 한 줄 동작을 정하여 알맞게 적용할 수 있다.,success,True,9.37,86
2,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,대상의 여러 성질 중에서 비교할 기준 속성 하나를 고를 수 있다. 고른 비교할 기준 속성 하나를 바탕으로 대상을 비교하고 순서를 정할 수 있다.,success,True,8.99,80
2,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,대상의 공통점과 차이점을 바탕으로 예와 아니오로 답할 수 있는 질문을 만들 수 있다. 조건에 따라 예와 아니오로 답할 수 있는 질문을 순서대로 하여 대상을 나누거나 알맞은 결정을 내릴 수 있다.,success,True,6.53,108
2,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,실생활 속에서 궁금한 질문을 만들 수 있다. 질문을 해결하는 데 알맞은 자료 수집 방법을 정할 수 있다.,success,True,8.98,58
2,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,"입력과 출력 장치를 연결하고 상황에 맞는 데이터를 모아 조건에 따른 동작 규칙을 설계할 수 있다. 센서와 신호, 전기 회로의 흐름을 이해하여 인공지능 사물을 구현할 수 있다.",success,True,4.26,97
2,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 가지 대상이나 자료를 관찰하여 공통점과 차이점을 찾을 수 있다. 대상의 속성과 특징을 살펴 공통점과 차이점을 찾을 수 있다.,success,True,7.49,72
2,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"센서 입력에 따른 신호 변화를 알아차리고, 정해진 조건에 맞춰 로봇의 동작을 정하는 알고리즘을 표현할 수 있다. 외부 자극이 신호 변환을 통해 원인과 결과로 나타나는 과정을 이해하고 조건문을 활용하여 인공지능 로봇을 제어할 수 있다.",success,True,5.02,130
2,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상의 속성을 찾아내어 명확한 질문을 만들고, 이에 따른 조건에 맞춰 대상을 나눌 수 있다.",success,True,4.38,51
2,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"예/아니오로 답할 수 있는 질문을 만들고 대상을 가장 잘 나누는 질문을 선택하여, 그 질문 결과에 따라 무리를 갈라놓을 수 있다.",success,True,4.77,72
2,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자 칸을 세고, 전체에 대한 색칠된 부분을 분수로 나타낼 수 있다. 격자판에서 색칠된 부분의 수를 세어 알맞은 분수로 표현할 수 있다.",success,True,7.94,76
2,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,모눈종이의 전체 칸수를 세고 색이 칠해진 칸수를 분수로 나타낼 수 있다. 전체 칸수와 색이 칠해진 칸수의 관계를 이해하여 디지털 화면의 표현 방식을 분수로 설명할 수 있다.,success,True,4.93,96
2,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"수집한 데이터를 나타내기 위해 상징 그림과 단위 크기를 정할 수 있으며, 수량만큼 그림을 나열할 수 있다.",success,True,8.15,59
2,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"이미지 데이터를 분석할 때 색깔과 밝기 차이를 비교하고, 모양과 성질을 바탕으로 선과 테두리를 찾을 수 있다.",success,True,4.94,61
2,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,해결할 문제를 정하고 이와 관련 있는 속성을 골라 목적에 맞는 기준을 세울 수 있다.,success,True,4.87,47
2,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",수집한 데이터의 수치 크기를 비교하여 막대나 선 등의 그래프로 나타내고 그 내용을 해석할 수 있다. 표와 그래프를 활용하여 데이터의 수치 크기를 한눈에 알아보기 쉽게 표현하고 데이터 간의 차이를 비교할 수 있다.,success,True,5.41,118
2,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,여러 대상의 속성과 특징을 바탕으로 공통점과 차이점을 비교할 수 있다. 알맞은 기준을 정하여 공통점과 차이점을 비교하고 대상들을 나누고 묶을 수 있다.,success,True,6.23,84
2,데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","데이터 크기를 비교하여 적절한 그림이나 그래프 종류를 고르고 눈금과 범례를 정할 수 있다. 수량에 따른 데이터 크기를 비교하여 알맞은 그림이나 그래프 종류를 고르고, 눈금과 범례를 정하여 나타낼 수 있다.",success,True,5.18,114
2,컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식","모눈종이에 그림을 그리고, 칸마다 색을 숫자로 바꾸어 표현할 수 있다. 컴퓨터가 그림을 인식하는 과정을 이해하기 위해 모눈종이의 각 칸마다 나타난 색을 숫자로 바꾸어 디지털 자료로 나타낼 수 있다.",success,True,5.85,110
2,데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","수집한 데이터에서 빠진 곳을 찾고, 틀린 값을 고치며, 중복된 것을 없애올바르게 정리할 수 있다. 표나 그래프로 나타낸 데이터의 오류를 확인하고 수정하는 과정에서 데이터의 정확성을 높일 수 있다.",success,True,4.43,109
2,공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,"대상 개체의 속성을 관찰하고, 속성이 같은 점을 찾아 하나로 묶으며 속성이 다른 점을 기준으로 가를 수 있다.",success,True,4.94,61
2,인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"주어진 조건과 일의 순서에 따라 문제를 해결하는 알고리즘 과정을 이해하고, 순서대로 따라가며 조건 질문에 답하고 알맞은 갈림길 선택하기를 수행할 수 있다.",success,True,4.85,86
2,대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,"알아보려는 목적에 따라 필요한 자료를 모으고, 모은 자료를 크기순으로 늘어놓아 전체를 대표하는 값을 찾아 설명할 수 있다.",success,True,5.03,68
2,평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,자료의 수량을 모두 모아 합치고 똑같이 쪼개어 나누어 전체를 대표하는 값으로 정할 수 있다.,success,True,5.68,51
2,"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"모눈종이에 색을 칠하고, 소리의 크기와 높낮이를 수치로 나타내며, 글자와 숫자를 짝지어 다양한 데이터를 표현할 수 있다.",success,True,9.32,67
2,의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"컴퓨터가 문제를 해결하는 과정을 순서대로 나열하고, 조건에 맞춰 나누며, 같은 부분을 묶어 반복하여 알고리즘으로 표현할 수 있다.",success,True,4.38,72
2,자연어,6,6실05-01,사람이 일상적으로 쓰는 말,"글자 띄어 쓰기를 바르게 하고, 낱말의 뜻과 묶음을 짝짓거나 문맥에 맞는 단어를 연결하여 인공지능이 문장의 구조와 의미를 이해할 수 있다.",success,True,4.59,77
2,디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,"연속된 변화를 관찰하고, 이를 일정한 간격으로 잘라 끊어 대상의 상태를 숫자로 바꾸어 적을 수 있다. 아날로그 자료의 연속된 변화를 일정한 간격으로 잘라 끊고 숫자로 바꾸어 적어 디지털 데이터로 표현할 수 있다.",success,True,6.81,118
2,데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","데이터의 모양을 보고 구별할 수 있다. 자료를 정보 형태에 따라 갈라 놓을 수 있으며, 데이터의 성격에 맞는 계산 방식을 정할 수 있다.",success,True,8.8,76
2,기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법",예시 자료를 모아 공통점과 차이점을 찾을 수 있다. 자료를 바탕으로 규칙과 정답을 연결할 수 있다.,success,True,8.53,55
2,언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동","컴퓨터 없이 정해진 기호와 약속에 따라 규칙대로 움직이고 순서대로 나열할 수 있으며, 문제 해결 과정에서 발생한 오류를 찾아 고칠 수 있다.",success,True,5.49,78
2,강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법","인공지능이 결과에 따라 점수를 얻으며 여러 번 시도하여 결과를 비교하고, 점수를 가장 많이 얻는 방법을 찾아낼 수 있다.",success,True,5.35,67
