ai_개념,개념_정의_초안,target_grade,chunk_id,성취기준_원문,상태,비고
인공지능 사물 제작(피지컬 컴퓨팅),센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,6,6실04-06,"로봇의 융합 기술을 이해하고, 간단한 로봇을 만들어 코딩과 프로그램을 적용하여 동작시키는 체험을 통해 융합 기술의 가치를 인식한다.",,"실제 수업자료(대전교육정보원 패키지 수록, '우리 집 가전제품에 인공지능을 더하면.hwp', 초등학교 5학년~중학교 3학년 대상) 기반. 활동 내용(센서·코딩·동작)이 원문과 일치. DOMESTIC_SCIENCE(실과) 과목 골든셋 최초 사례. 파이프라인 미실행 - 원문 직접 대조로 매칭."
분류(과학 도메인),주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,3,4과02-01,여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.,,"세종시교육청 자료(#4·#7 '생활 속에서 여러 가지 데이터 찾기!', '동물의 특징을 찾고 분류하기', 초3-4) 기반. 기존 '분류'는 모두 수학(도형) 도메인이었는데 이건 과학(동물) 도메인 사례라 과목 다양성 보강. 원 코드 [4과03-01](2015개정)이 2022개정에서 [4과02-01]로 재매핑(원문 완전 일치)."
로봇의 작동 원리,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,5,6실04-05,"로봇의 종류와 활용 사례를 통해 작동 원리를 이해하고, 로봇에 대한 관심과 흥미를 가진다.",,"세종시교육청 자료(#15 '구글 아트앤컬쳐를 활용하여 컴퓨터의 인식 방법 체험하기', 초5-6) 기반. 원 코드 [6실05-06](2015개정)이 2022개정에서 [6실04-05]로 재매핑(원문 거의 일치). '인공지능 사물 제작'(6실04-06, '만들기' 활동)과 짝이 되는 '이해' 중심 실과 사례."
분류 기준 설계,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,6,6수03-05,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",,"세종시교육청 자료(#16 '사물의 특징을 파악해 분류 기준 세우기', 초6) 기반. 원 코드 [6수02-06](2015개정)이 2022개정에서 [6수03-05]로 재매핑. 주의: 기존 골든셋의 같은 개념명(grade4)은 '없음'으로 결론남 - 이번엔 다른 학년·다른 후보라 별개 사례지만 매칭 신뢰도는 보통 수준. 교차검수 시 특히 확인 필요."
의사결정트리,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,6,6수03-05,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",,"세종시교육청 자료(#17 '인공지능의 분류 방법. 의사결정나무!', 초6) 기반. 원 코드 4개(2015개정)가 2022개정 입체도형 전체([6수03-03]/[6수03-05]/[6수03-07])로 재편. 대표 코드로 [6수03-05] 선택했으나 03-03/03-07도 동등 관련 - 팀 논의로 최종 확정 필요. 위 '의사결정트리'(4수03-10, grade4, 사각형)와는 다른 학년·다른 도형이라 별개 사례로 추가."
분수 기반 픽셀 표현,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,5,6수01-06,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다.",,"세종시교육청 자료('픽셀 그림에서 인공지능은 어떻게 인식할까?' 계열, 초5-6, 수학) 기반. 코드 확인 결과 2022개정 코드 그대로 코퍼스에 존재(변환 불필요). 주의: 위 '도형 인식'(2수03-04, #3 '나는야 픽셀아트 작가!')과 같은 '픽셀아트' 계열 활동으로 보이는데 이번엔 분수(6수01-06/07) 성취기준으로 연결돼 있어, 같은 원자료 내에서 픽셀 관련 활동이 서로 다른 두 성취기준으로 추출된 것으로 보임 - 두 활동이 실제로 같은 것인지 다른 것인지 원본 확인 필요."
분수 기반 픽셀 표현,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,5,6수01-07,분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.,,"위 6수01-06과 같은 자료·같은 개념명의 짝 코드. 원본 스크린샷에 [6수01-06],[6수01-07] 두 코드가 함께 제시돼 있어 둘 다 반영. 코드 확인 결과 2022개정 코드 그대로 코퍼스에 존재(변환 불필요)."
그림그래프 기반 데이터 시각화,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,6,4수04-01,자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.,,"세종시교육청 자료('워드클라우드로 체험하는 데이터 시각화', 초6, 수학) 기반. 원 코드 [6수05-02](2015개정) 재검토 결과: 2022개정에서 그림그래프는 G5-6이 아니라 G3-4(4수04-01)로 완전히 이동함(G5-6 자료와가능성 영역엔 평균/띠그래프·원그래프/탐구그래프/가능성만 존재, 그림그래프 없음 - 단순 번호 재배치가 아니라 학년 자체가 바뀐 케이스). 누적 범위 원칙상 target_grade=6이면 4수04-01도 유효한 후보이나, 이미 위 '데이터 시각화'·'의사결정' 항목과 동일 코드라 사실상 중복."
이미지의 시각적 특징 인식,이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","자신의 특징 탐색, 시각적 특징 발견, 이미지 활용 전달, 표현 소재 탐색, 발상 방법, 조형 원리 탐색, 다양한 감상 방법 관련",과목 미구현(미술),"세종시교육청 자료('구글 아트앤컬쳐를 활용하여 컴퓨터의 인식 방법 체험하기', 초5-6, 미술) 기반. 미술 과목은 현재 코퍼스(MATH/SCIENCE/DOMESTIC_SCIENCE)에 없어 코드 검증 불가 - 팀 결정에 따라 과목 데이터 추가 전까지는 원본 코드 그대로 기록만 해둠. 같은 활동의 실과 코드는 위 '로봇의 작동 원리'(6실04-05)로 이미 반영됨."
목적 기반 데이터 정리,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,6,6수04-03,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.",2022코드 확인완료(교체),"세종시교육청 자료('지식 그래프로 여러 국가의 데이터 정리하기', 초6) 기반. 원 코드 [6수05-04](2015개정)는 2022개정 코퍼스에 존재하지 않아 미확인 상태였음 - app/data/curriculum_units.json 전수 대조 결과 2022개정 G5-6 '자료와 가능성' 도메인은 6수04-01~06 6개뿐이고 05번 도메인 자체가 사라짐(04번으로 통합). 의미(자료 수집·분류·정리→목적에 맞는 그래프→해석)가 가장 가깝게 대응하는 6수04-03으로 교체. 단, 6수04-03은 위 '탐구형 데이터 분석(PPDAC)'(row16, grade5)이 이미 사용 중인 코드라 사실상 같은 성취기준을 가리키는 중복 - 개념명이 다르므로 유지하되 교차검수 시 병합 여부 확인 필요."
데이터의 시각화,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",4,4수04-03,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",,"자체제작 초안에서 원 코드 [4수05-02],[4수05-03]은 2015개정 코드였음(정슬기·박만구(2023) 논문 87p에 동일 원문 확인). 2022개정 코퍼스에는 해당 코드가 없어 대조한 결과, 같은 내용(자료 수집·정리→막대/꺾은선그래프→해석)이 4수04-03 하나로 통합되어 있어 교체함. 위 '데이터 수집'(row7)·'데이터 정리'(row8)와 동일 코드 중복이지만, 두 개념은 수집/정리 과정에, 이 항목은 시각화 결과물에 초점을 둔 다른 측면이라 별개로 유지."
분류,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,3,4과02-01,여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.,,"원 코드 [4과03-01]은 오류 - app/data/curriculum_units.json 대조 결과 4과03-01은 '식물' 분류 성취기준이고(원문: 여러 가지 식물을 관찰하여 특징에 따라 식물을 분류할 수 있다), 여기서 인용한 '동물' 분류 원문은 4과02-01에 해당함. 위 '분류(과학 도메인)'(row18)와 동일 코드로 정정 - 개념명이 다르고(수집한 원자료 표기 차이로 추정) grade도 달라 별개 행으로 유지하되 중복 여부 교차검수 필요."
데이터의 시각화,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",6,4수04-01,자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.,,"원 코드 6수05-02는 2015개정 코드로 2022개정 코퍼스에 없음. 위 '데이터 시각화'(row11)·'그림그래프 기반 데이터 시각화'(row24) 항목의 근거와 동일하게, 2022개정에서 그림그래프 성취기준은 G5-6이 아니라 G3-4(4수04-01)로 이동했으므로 이를 반영해 교체. 누적 범위 원칙상 target_grade=6도 유효하나, row11/24와 동일 코드라 사실상 중복."
컴퓨터의 픽셀 이미지 인식방법,"컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식",5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","자신의 특징 탐색, 시각적 특징 발견, 이미지 활용 전달, 표현 소재 탐색, 발상 방법, 조형 원리 탐색, 다양한 감상 방법 관련",과목 미구현(미술),자체제작
데이터 정리,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정",6,6수04-03,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.",2022코드 확인완료(교체),"원 코드 [6수05-04](2015개정)는 2022개정 코퍼스에 없음(도메인 05가 04로 통합되며 사라짐). 의미상 가장 가까운 6수04-03으로 교체 - row26 '목적 기반 데이터 정리'와 동일한 근거·동일 교체 코드(두 행이 사실상 같은 세종시교육청 자료를 가리키는 중복으로 보임, 교차검수 시 하나로 병합 검토 필요). 위 '탐구형 데이터 분석(PPDAC)'(row16)과도 코드 중복."
공통점과 차이점 구별하기,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,6,6과06-02,"이슬, 안개, 구름을 관찰하고 공통점과 차이점을 찾을 수 있다.",,
인공지능 순서도 이해하기,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,6,6실05-01,컴퓨터를 활용한 생활 속 문제해결 사례를 탐색하고 일상생활 속 문제를 해결하기 위한 알고리즘을 다양한 방법으로 표현한다.,,
대표값,자료 전체를 대표할 수 있는 하나의 값,5,6수04-01,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.",,"원 행이 target_grade/chunk_id/원문 전부 공란인 미완성 항목이었음. 2022개정 초등수학은 대표값 중 '평균'만 다루고 중앙값·최빈값은 다루지 않으므로(app/data/curriculum_units.json 전수 대조 결과 G5-6 '자료와 가능성' 도메인에 평균 외 대표값 성취기준 없음), 평균과 대표값'(row9, grade5)·'평균값'(row35, grade6)과 동일한 6수04-01로 채움. '대표값'은 두 항목의 상위 개념이라 grade는 row9와 맞춤 - 세 행이 사실상 중복이라 교차검수 시 통합 검토 필요."
평균값,여러 수를 다 더해서 개수로 나눈 값,6,6수04-01,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.",,
"숫자, 글자, 소리, 이미지 데이터",컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,6,6실05-04,"디지털 데이터와 아날로그 데이터의 특징을 이해하고, 인공지능에 활용할 수 있는 데이터의 유형이나 형태를 탐색한다.",,
의사코드,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,6,6실05-01,컴퓨터를 활용한 생활 속 문제해결 사례를 탐색하고 일상생활 속 문제를 해결하기 위한 알고리즘을 다양한 방법으로 표현한다.,,
자연어,사람이 일상적으로 쓰는 말,6,6실05-01,컴퓨터를 활용한 생활 속 문제해결 사례를 탐색하고 일상생활 속 문제를 해결하기 위한 알고리즘을 다양한 방법으로 표현한다.,낮은 신뢰도(유지),코퍼스(MATH/SCIENCE/DOMESTIC_SCIENCE/ART)에 자연어처리 관련 성취기준이 없어 '알고리즘을 다양한 방법으로 표현'(6실05-01) 중 자연어도 한 표현 방법이라는 논리로 억지 연결한 수준. 2026-08-04 재대조 시 더 나은 대안을 못 찾아 유지하되 신뢰도 낮음으로 표시.
디지털과 아날로그,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,6,6실05-04,"디지털 데이터와 아날로그 데이터의 특징을 이해하고, 인공지능에 활용할 수 있는 데이터의 유형이나 형태를 탐색한다.",,원래 6실05-01(알고리즘 표현)로 돼있었으나 실제로는 row37/38/41번과 함께 05-01의 원문이 복붙되어 코드-원문이 안 맞는 상태였음(2026-08-04 재대조로 발견). 개념(디지털/아날로그 신호 구분)이 6실05-04 원문과 거의 그대로 일치해 정정. row36/40과 동일 코드(모두 05-04 '데이터 유형/특징' 도메인).
데이터의 유형,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음",6,6실05-04,"디지털 데이터와 아날로그 데이터의 특징을 이해하고, 인공지능에 활용할 수 있는 데이터의 유형이나 형태를 탐색한다.",,
기계학습과 딥러닝,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법",6,6실05-05,"인공지능이 만들어지는 과정을 체험하고, 인공지능이 사회에 미치는 영향을 탐색한다.",,"원래 6실05-01(알고리즘 표현)로 돼있었으나 복붙 오류로 코드-원문 불일치 상태였음(2026-08-04 재대조로 발견, row39/42/43과 같은 문제). '알고리즘을 다양한 방법으로 표현'은 기계학습/딥러닝과 개념적으로 약하게 연결되고, 오히려 6실05-05('인공지능이 만들어지는 과정 체험')이 '기계학습·딥러닝이 AI를 만드는 방법'이라는 개념과 훨씬 직접적으로 연결되어 정정."
언플러그드 활동,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동",6,6실05-01,컴퓨터를 활용한 생활 속 문제해결 사례를 탐색하고 일상생활 속 문제를 해결하기 위한 알고리즘을 다양한 방법으로 표현한다.,,원래 6실05-02였으나 원문(성취기준_원문 컬럼)은 05-01 것이 복붙돼 있어 코드-원문이 불일치했음(2026-08-04 재대조로 발견). 실제 6실05-02 원문('컴퓨터에게 명령...프로그램을 작성한다')은 컴퓨터 사용을 전제해 '언플러그드'(컴퓨터 없이 활동) 정의와 정반대라 부적합. 원래 복붙돼 있던 원문이 가리키는 6실05-01('알고리즘을 다양한 방법으로 표현')이 개념적으로 더 맞아 그쪽으로 정정. row33/37과 코드 중복.
강화학습,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법",6,6실05-05,"인공지능이 만들어지는 과정을 체험하고, 인공지능이 사회에 미치는 영향을 탐색한다.",,"원래 6실05-03였으나 원문은 05-01 것이 복붙돼 있어 코드-원문이 불일치했음(2026-08-04 재대조로 발견, row39/41/42와 같은 문제). 실제 6실05-03 원문('프로그램을 협력하여 작성하고 공유')은 협업 코딩 얘기라 강화학습(보상 기반 시행착오 학습)과 무관. row41과 같은 이유로 6실05-05('인공지능이 만들어지는 과정 체험')로 정정."
예측,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,4,4국02-03,질문을 활용하여 글을 예측하며 읽고 자신의 읽기 과정을 점검한다.,,"국어과 신규 추가(2026-08-11). 성취기준 원문에 ""예측"" 단어가 명시적으로 포함됨. 실제 검색 스모크 테스트에서 ""예측"" 개념 질의 시 3위로 노출 확인."
요약,긴 글에서 중요한 내용만 골라 짧고 간단하게 정리하는 것,4,4국02-02,문단과 글에서 중심 생각을 파악하고 내용을 간추린다.,,"국어과 신규 추가(2026-08-11, 1차 시도의 예측/분류 대신 국어 고유 영역으로 교체 — 요약은 수학·과학과 개념 경쟁이 없어 후보 풀 top-1로 안정적으로 진입 확인(dense 0.367), 실제 리랭킹까지 O(rank1) 검증."
정보 신뢰성 평가,어떤 정보나 자료의 출처가 믿을 만한지 따져보고 판단하는 것,6,6국06-02,뉴스 및 각종 정보 매체 자료의 신뢰성을 평가한다.,,"국어과 신규 추가(2026-08-11). 후보 풀 top-1(dense 0.421), 실제 리랭킹까지 O(rank1) 검증. 사회 과목(6사08-03, 미디어 리터러시)도 근접 후보로 확인됨."
