no,ai_개념,개념_정의_초안,target_grade,후보1,후보2,후보3,후보4,후보5,"정답_chunk_id(직접입력, 없으면 '없음')",검수자,비고
1,분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,2,"2수03-05 | 도형과 측정 | 삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다. (유사도 0.658)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.653)","2수03-12 | 도형과 측정 | 여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다. (유사도 0.648)","2수03-11 | 도형과 측정 | 1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있 (유사도 0.646)","2수03-06 | 도형과 측정 | 구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘ (유사도 0.646)",,,
12,확률,어떤 일이 일어날 가능성을 수로 나타내는 것,6,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.565)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.565)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.565)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.565),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.565),,,
13,알고리즘,문제를 해결하기 위한 순서와 절차를 명확한 단계로 나타낸 것,4,"2수03-09 | 도형과 측정 | 실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를  (유사도 0.515)",2수03-13 | 도형과 측정 | 실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다. (유사도 0.506),4수03-14 | 도형과 측정 | 실생활 문제 상황과 연결하여 초 단위까지의 시간의 덧셈과 뺄셈을 할 수 있다. (유사도 0.506),4수03-19 | 도형과 측정 | 실생활 문제 상황과 연결하여 들이의 덧셈과 뺄셈을 할 수 있다. (유사도 0.503),"4수03-09 | 도형과 측정 | 여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 직각삼각형, 예각삼각형, 둔각 삼각형을 (유사도 0.498)",,,
14,변수,상황에 따라 달라질 수 있는 값을 기호로 나타낸 것,4,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.669)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.669)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.669)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.669)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.669),,,
15,함수적 대응 관계,한 양이 변하면 다른 양이 그에 따라 하나로 정해지는 관계,6,"4수01-09 | 수와 연산 | 양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다. (유사도 0.495)",6과09-01 | 산과 염기 | 여러 가지 용액에 지시약을 넣었을 때의 변화를 관찰하여 용액을 산성 용액과 염기성 용 액으 (유사도 0.494),"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.494)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.494)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.494)",,,
16,최적화,여러 가능한 방법 중 가장 좋은 결과를 내는 방법을 찾는 것,6,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.482)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.482)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.482)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.482),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.482),,,
17,오차,측정하거나 예측한 값과 실제 값 사이의 차이,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.602)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.602)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.602)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.602),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.602),,,
18,인과관계,한 사건이나 조건이 다른 결과를 일으키는 원인과 결과의 관계,5,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.578)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.578)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.578)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.578)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.578),,,
19,상관관계,두 자료나 현상이 서로 관련되어 함께 변화하는 관계,6,"4과10-02 | 물의 상태 변화 | 물이 얼 때, 얼음이 녹을 때, 물이 증발할 때와 끓을 때, 수증기가 응결할 때의 변화를  (유사도 0.570)","6수03-18 | 도형과 측정 | 부피 단위 1cm³, 1m³를 알며, 그 관계를 이해한다. (유사도 0.568)",6과03-03 | 용해와 용액 | 일상생활에서 용액이 쓰이는 사례를 조사하여 용액의 필요성을 알리는 자료를 만들고 공 유할  (유사도 0.567),6과07-02 | 열과 우리 생활 | 온도가 다른 두 물체가 접촉했을 때 두 물체의 온도 변화를 관찰하고 그 원인을 추리할 수  (유사도 0.565),6과07-03 | 열과 우리 생활 | 주위에서 열의 이동으로 나타나는 현상을 관찰하여 열의 이동 방식이 다양함을 설명할 수 있다 (유사도 0.562),,,
20,추론,이미 알고 있는 사실을 바탕으로 새로운 사실을 이끌어내는 것,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.492)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.492)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.492)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.492),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.492),,,
21,일반화,여러 개별 사례에서 공통점을 찾아 전체에 적용되는 규칙으로 정리하는 것,4,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.627)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.627)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.627)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.627)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.627),,,
22,시뮬레이션(모의실험),실제 현상을 모형이나 절차로 흉내내어 결과를 미리 살펴보는 것,5,"4수03-04 | 도형과 측정 | 구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다. (유사도 0.556)","4수03-02 | 도형과 측정 | 각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다. (유사도 0.551)","2수03-09 | 도형과 측정 | 실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를  (유사도 0.550)","6수03-15 | 도형과 측정 | 여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여, 원주율이 일정한 값임을  (유사도 0.549)",4수03-14 | 도형과 측정 | 실생활 문제 상황과 연결하여 초 단위까지의 시간의 덧셈과 뺄셈을 할 수 있다. (유사도 0.546),,,
23,피드백(되먹임),결과를 확인하고 그에 따라 다음 행동이나 판단을 조정하는 것,6,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.516)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.516)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.516)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.516),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.516),,,
24,센서 인식,"장치가 빛, 소리, 온도 등 주변 정보를 받아들이는 것",3,"4과07-01 | 소리의 성질 | 여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 물체는 떨림이 있음을 설명할 수 있 (유사도 0.622)","4과07-02 | 소리의 성질 | 큰 소리와 작은 소리, 높은 소리와 낮은 소리를 구분하고, 세기와 높낮이가 다른 소리를 낼 (유사도 0.599)","4과07-03 | 소리의 성질 | 여러 가지 물질을 통하여 소리가 전달되는 것을 관찰하고, 소음을 줄이는 방법을 찾아 일상생 (유사도 0.581)",4과15-04 | 여러 가지 기체 | 기체의 성질을 이용하여 작동시킬 수 있는 장치를 설계하고 만들 수 있다. (유사도 0.492),"4과15-03 | 여러 가지 기체 | 일상생활에서 이용되는 기체의 종류와 성질을 조사하고, 여러 가지 기체에 대해 흥미를 느낄  (유사도 0.470)",,,
25,이상 탐지,평소와 다른 특이한 자료나 상황을 찾아내는 것,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.438)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.438)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.438)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.438),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.438),,,
26,의사결정,여러 정보를 비교하여 하나의 선택을 내리는 것,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.561)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.561)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.561)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.561),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.561),,,
27,분류 기준 설계,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,4,"4수03-17 | 도형과 측정 | 들이 단위 1L와 1mL를 알고, 이를 이용하여 들이를 측정하고 어림하며 수학의 유용성을  (유사도 0.552)","4수03-22 | 도형과 측정 | 실생활에서 무게를 나타낼 때 사용하는 단위 1t을 알고, 1t과 1kg의 관계를 이해한다. (유사도 0.549)","4수03-20 | 도형과 측정 | 실생활에서 무게를 나타낼 때 사용하는 단위 1g과 1kg을 알고, 이를 이용하여 무게를 측 (유사도 0.548)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.546)","4수03-18 | 도형과 측정 | 1L와 1mL의 관계를 이해하고, 들이를 ‘몇 L 몇 mL’와 ‘몇 mL’로 표현할 수 있 (유사도 0.545)",,,
28,데이터 시각화,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,4,4수03-07 | 도형과 측정 | 컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다. (유사도 0.642),"2수03-04 | 도형과 측정 | 삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다. (유사도 0.639)",4수03-12 | 도형과 측정 | 주어진 도형을 이용하여 여러 가지 모양을 만들거나 채우고 설명할 수 있다. (유사도 0.638),2수03-07 | 도형과 측정 | 시계를 보고 시각을 ‘몇 시 몇 분’까지 읽을 수 있다. (유사도 0.636),"2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.635)",,,
29,비교와 순서화,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,2,"2수03-12 | 도형과 측정 | 여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다. (유사도 0.706)","2수03-06 | 도형과 측정 | 구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘ (유사도 0.696)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.693)","2수03-11 | 도형과 측정 | 1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있 (유사도 0.690)",2수03-07 | 도형과 측정 | 시계를 보고 시각을 ‘몇 시 몇 분’까지 읽을 수 있다. (유사도 0.690),,,
30,반복과 규칙 적용,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,3,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.665)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.665)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.665)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.665)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.665),,,
