ai_개념,개념_정의_초안,target_grade,"정답_chunk_id(직접입력, 없으면 '없음')",성취기준_원문,상태,비고 (왜 안 맞는지도 적어주시면 감사하겠습니다 :) )
비교와 순서화,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,4,4수01-02,"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.",본 골든셋 병합완료,"정슬기·박만구(2023) 논문의 2015교육과정 4-1-1 '큰 수' 단원 매핑(입력/처리/출력/정렬/알고리즘) 기반. 2022개정 4수01-02로 재매핑 - 도메인 번호는 구/신 교육과정에서 동일(01=수와 연산). 위 '비교와 순서화'(grade2, 2수03-06)와 동일 개념의 grade4 사례."
의사결정트리,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,4,4수03-10,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행 사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다.",본 골든셋 병합완료,"정슬기·박만구(2023) 논문의 2015교육과정 4-2-4 '사각형' 단원 매핑(의사결정트리/분류) 기반. 구 4수02-10 → 2022개정 4수03-10으로 재매핑. 위 '분류'(grade4)와 같은 코드를 가리키지만, '분류'는 결과, '의사결정트리'는 과정(조건 분기)이라는 다른 측면을 다룸."
탐구형 데이터 분석(PPDAC),문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,5,6수04-03,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.",교차검수 대기,"실제 수업자료(대전교육정보원 '2022년 대전AI교육지원체험센터 인공지능 교육자료 패키지' 수록, '데이터 분석을 통해 미래의 음식 가격 예측하기.hwp', 대전자운초 김희철 교사, 초5-6 대상) 기반. PPDAC 모델 절차가 원문과 구조적으로 일치. 위 '예측'(4수04-02)·'데이터 수집/정리'(4수04-03)과는 별개로, 전체 탐구 절차를 하나로 다루는 성취기준이라 구분됨. 파이프라인 미실행 - 원문 직접 대조로 매칭."
인공지능 사물 제작(피지컬 컴퓨팅),센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,5,6실04-06,"로봇의 융합 기술을 이해하고, 간단한 로봇을 만들어 코딩과 프로그램을 적용하여 동작시키는 체험을 통해 융합 기술의 가치를 인식한다.",교차검수 대기,"실제 수업자료(대전교육정보원 패키지 수록, '우리 집 가전제품에 인공지능을 더하면.hwp', 초등학교 5학년~중학교 3학년 대상) 기반. 활동 내용(센서·코딩·동작)이 원문과 일치. DOMESTIC_SCIENCE(실과) 과목 골든셋 최초 사례. 파이프라인 미실행 - 원문 직접 대조로 매칭."
도형 인식,삼각형·사각형·원 등 기본 도형을 알아보고 서로 구별하는 것,2,2수03-04,"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다.",교차검수 대기,"세종시교육청 자료(2022학년도 인공지능교육 교수·학습자료, #3 '나는야 픽셀아트 작가!', 초1-4) 기반. 원 코드 2015개정 [2수02-04]가 2022개정 도형 영역 번호 변경(02→03)으로 [2수03-04]로 재매핑(원문 완전 일치). 같은 자료의 [4수02-10]→[4수03-10]은 위 '분류'와 동일 코드라 중복 제외."
분류(과학 도메인),주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,3,4과02-01,"여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.",교차검수 대기,"세종시교육청 자료(#4·#7 '생활 속에서 여러 가지 데이터 찾기!', '동물의 특징을 찾고 분류하기', 초3-4) 기반. 기존 '분류'는 모두 수학(도형) 도메인이었는데 이건 과학(동물) 도메인 사례라 과목 다양성 보강. 원 코드 [4과03-01](2015개정)이 2022개정에서 [4과02-01]로 재매핑(원문 완전 일치)."
로봇의 작동 원리,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,5,6실04-05,"로봇의 종류와 활용 사례를 통해 작동 원리를 이해하고, 로봇에 대한 관심과 흥미를 가진다.",교차검수 대기,"세종시교육청 자료(#15 '구글 아트앤컬쳐를 활용하여 컴퓨터의 인식 방법 체험하기', 초5-6) 기반. 원 코드 [6실05-06](2015개정)이 2022개정에서 [6실04-05]로 재매핑(원문 거의 일치). '인공지능 사물 제작'(6실04-06, '만들기' 활동)과 짝이 되는 '이해' 중심 실과 사례."
분류 기준 설계,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,6,6수03-05,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",교차검수 대기,"세종시교육청 자료(#16 '사물의 특징을 파악해 분류 기준 세우기', 초6) 기반. 원 코드 [6수02-06](2015개정)이 2022개정에서 [6수03-05]로 재매핑. 주의: 기존 골든셋의 같은 개념명(grade4)은 '없음'으로 결론남 - 이번엔 다른 학년·다른 후보라 별개 사례지만 매칭 신뢰도는 보통 수준. 교차검수 시 특히 확인 필요."
의사결정트리,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,6,6수03-05,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",교차검수 대기,"세종시교육청 자료(#17 '인공지능의 분류 방법. 의사결정나무!', 초6) 기반. 원 코드 4개(2015개정)가 2022개정 입체도형 전체([6수03-03]/[6수03-05]/[6수03-07])로 재편. 대표 코드로 [6수03-05] 선택했으나 03-03/03-07도 동등 관련 - 팀 논의로 최종 확정 필요. 위 '의사결정트리'(4수03-10, grade4, 사각형)와는 다른 학년·다른 도형이라 별개 사례로 추가."
분수 기반 픽셀 표현,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,5,6수01-06,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다.",교차검수 대기,"세종시교육청 자료('픽셀 그림에서 인공지능은 어떻게 인식할까?' 계열, 초5-6, 수학) 기반. 코드 확인 결과 2022개정 코드 그대로 코퍼스에 존재(변환 불필요). 주의: 위 '도형 인식'(2수03-04, #3 '나는야 픽셀아트 작가!')과 같은 '픽셀아트' 계열 활동으로 보이는데 이번엔 분수(6수01-06/07) 성취기준으로 연결돼 있어, 같은 원자료 내에서 픽셀 관련 활동이 서로 다른 두 성취기준으로 추출된 것으로 보임 - 두 활동이 실제로 같은 것인지 다른 것인지 원본 확인 필요."
분수 기반 픽셀 표현,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,5,6수01-07,"분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.",교차검수 대기,"위 6수01-06과 같은 자료·같은 개념명의 짝 코드. 원본 스크린샷에 [6수01-06],[6수01-07] 두 코드가 함께 제시돼 있어 둘 다 반영. 코드 확인 결과 2022개정 코드 그대로 코퍼스에 존재(변환 불필요)."
그림그래프 기반 데이터 시각화,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,6,4수04-01,"자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.",확인 완료(중복),"세종시교육청 자료('워드클라우드로 체험하는 데이터 시각화', 초6, 수학) 기반. 원 코드 [6수05-02](2015개정) 재검토 결과: 2022개정에서 그림그래프는 G5-6이 아니라 G3-4(4수04-01)로 완전히 이동함(G5-6 자료와가능성 영역엔 평균/띠그래프·원그래프/탐구그래프/가능성만 존재, 그림그래프 없음 - 단순 번호 재배치가 아니라 학년 자체가 바뀐 케이스). 누적 범위 원칙상 target_grade=6이면 4수04-01도 유효한 후보이나, 이미 위 '데이터 시각화'·'의사결정' 항목과 동일 코드라 사실상 중복."
이미지의 시각적 특징 인식,이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,5,"[6미01-01],[6미01-02],[6미01-04],[6미02-01],[6미02-02],[6미02-04],[6미03-04]","자신의 특징 탐색, 시각적 특징 발견, 이미지 활용 전달, 표현 소재 탐색, 발상 방법, 조형 원리 탐색, 다양한 감상 방법 관련",과목 미구현(미술),"세종시교육청 자료('구글 아트앤컬쳐를 활용하여 컴퓨터의 인식 방법 체험하기', 초5-6, 미술) 기반. 미술 과목은 현재 코퍼스(MATH/SCIENCE/DOMESTIC_SCIENCE)에 없어 코드 검증 불가 - 팀 결정에 따라 과목 데이터 추가 전까지는 원본 코드 그대로 기록만 해둠. 같은 활동의 실과 코드는 위 '로봇의 작동 원리'(6실04-05)로 이미 반영됨."
목적 기반 데이터 정리,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,6,6수05-04,"자료를 수집, 분류, 정리하여 목적에 맞는 그래프로 나타내고, 그래프를 해석할 수 있다.",2022코드 미확인,"세종시교육청 자료('지식 그래프로 여러 국가의 데이터 정리하기', 초6) 기반. 원본에는 관련 교과가 '사회'로 표기돼 있으나 실제 이 성취기준 원문은 수학 - 원본 라벨링 오류로 추정. 원 코드 [6수05-04](2015개정)의 2022개정 대응도 코퍼스에서 못 찾음. 코드/텍스트는 원본 그대로 기록, 팀 확인 필요."
자연어 대화 이해,기계가 사람과 대화하기 위해 필요한 언어 표현과 소통 방식을 이해하는 것,1,"[12화언01-05],[12화언01-06]","담화의 맥락에 적절한 어휘와 문법 요소를 선택하여 화자의 태도를 드러낸다. / 담화의 구조를 고려하여 적절한 어휘와 문장으로 응집성 있는 담화를 구성한다.",과목 미구현(국어) + 원본 이상,"세종시교육청 자료('인공지능은 어떻게 대화할까?', 초1-2, 국어) 기반. 주의: 코드가 고등학교 선택과목 '화법과 언어'(12화언)인데 대상 학년은 초1-2로 표기돼 있어 명백한 학년-코드 불일치 - 원본 세종시 자료 자체의 오류일 가능성이 높음. 국어 과목도 코퍼스에 없어 검증 불가. 팀에서 원본 문서 직접 대조 후 사용 여부 판단 필요."
